Title,Model,Type,Year,Mileage,Transmission,Location,CC,Variant,Price,Origin
FULL L0AN **2015 Honda CITY 1.5 S (A),CITY,4D SEDAN,2015,120k - 129k,Auto,Kuala Lumpur,1.5,S,35414,MALAYSIA
LOAN KEDAI 2014 Honda CIVIC 1.8 S (A) SEAT KULIT,CIVIC,4D SEDAN,2014,140k - 149k,Auto,Selangor,1.8,SE MODULO S,25880,MALAYSIA
2005 Honda JAZZ 1.5 VTEC (A),JAZZ,4D HATCHBACK,2005,180k - 189k,Auto,Sabah,1.5,VTEC,21000,THAILAND
2019 Honda CITY 1.5 E P/STAR KLES PADDLE SHIFT CAM,CITY,4D SEDAN,2019,50k - 54k,Auto,Selangor,1.5,E,51800,MALAYSIA
-2014-Honda ACCORD 2.0 P/START (A)Kedai/Bank/Cash,ACCORD,4D SEDAN,2014,100k - 109k,Auto,Selangor,2,VTi,38990,MALAYSIA
2018 Honda HR-V 1.8L Modulo (A),HR-V,4D WAGON,2018,65k - 69k,Auto,Kedah,1.8,S,65800,MALAYSIA
Honda CR-V 2.0 i-VTEC (A) TAHUN DIBUAT 2004,CR-V,4D SUV,2004,130k - 139k,Auto,Selangor,2,i-VTEC,11980,MALAYSIA
2015 Honda JAZZ 1.5 (A) FULL LOAN / LOAN KEDAI,JAZZ,4D HATCHBACK,2015,60k - 64k,Auto,Selangor,1.5,S,32990,MALAYSIA
Honda CITY 1.5 V Save UpTo20%+FREE WARRANTY,CITY,4D SEDAN,2018,95k - 99k,Auto,Kuala Lumpur,1.5,V,54980,MALAYSIA
2016 Honda CITY 1.5 V (A)FUL L0AN!!!L0AN KEDAI!!!,CITY,4D SEDAN,2016,85k - 89k,Auto,Kuala Lumpur,1.5,V,43800,MALAYSIA
2008 Honda ODYSSEY 2.4 i-VTEC FACELIFT (A),ODYSSEY,4D WAGON,2008,200k - 249k,Auto,Selangor,2.4,i-VTEC,38800,JAPAN
2013 Honda CIVIC 1.8 S (A) Very Low Mileage,CIVIC,4D SEDAN,2013,95k - 99k,Auto,Penang,1.8,S,30800,MALAYSIA
2018 Honda CR-V 1.5 TC-P (A) FULL SERVICE RECORD A,CR-V,4D SUV,2018,85k - 89k,Auto,Penang,1.5,TC-P 2WD,103800,MALAYSIA
2016 Honda CR-V 2.0 FACELIFT (A)CAREFUL LAST ONWER,CR-V,4D SUV,2016,100k - 109k,Auto,Selangor,2,2WD,53800,MALAYSIA
2022 Honda CIVIC 1.5 EX FL1 (A),CIVIC,4D HATCHBACK,2022,15k - 19k,Auto,Selangor,1.5,EX,180000,JAPAN
2017 Honda CITY 1.5 E (A) 2 YEARS WARRANTY V S,CITY,4D SEDAN,2017,65k - 69k,Auto,Selangor,1.5,E,36888,MALAYSIA
2017 Honda CIVIC 1.5 TC-P (A) CAR KING! FULL LOAN!,CIVIC,4D SEDAN,2017,100k - 109k,Auto,Kuala Lumpur,1.5,TC-PREMIUM,78780,MALAYSIA
2006 Honda CIVIC 2.0 i-VTEC (A),CIVIC,4D SEDAN,2006,130k - 139k,Auto,Selangor,2,i-VTEC,30800,MALAYSIA
2024 Honda HR-V F.Loan Rebate kaw kaw.,HR-V,4D WAGON,2024,<4k,Auto,Selangor,1.5,V,107900,MALAYSIA
2020 Honda CIVIC TC-P 1.5 Auto (FL),CIVIC,4D SEDAN,2020,85k - 89k,Auto,Selangor,1.5,TC-PREMIUM,104800,MALAYSIA
Honda CIVIC 1.8 S i-VTEC TYPE-R BODYKIT LOW MILE,CIVIC,4D SEDAN,2018,80k - 84k,Auto,Kuala Lumpur,1.8,S i-VTEC,69800,MALAYSIA
2006 Honda CIVIC 2.0 i-VTEC (A),CIVIC,4D SEDAN,2006,170k - 179k,Auto,Selangor,2,i-VTEC,25800,MALAYSIA
2007 Honda CIVIC 1.8 i-VTEC (A),CIVIC,4D SEDAN,2007,130k - 139k,Auto,Kelantan,1.8,i-VTEC,31700,MALAYSIA
2007 Honda CIVIC 1.8 i-VTEC (A),CIVIC,4D SEDAN,2007,160k - 169k,Auto,Penang,1.8,i-VTEC,23700,MALAYSIA
2016 Honda HR-V 1.8 V ENHANCED (A) HRV/ONE OWNER,HR-V,4D WAGON,2016,110k - 119k,Auto,Kuala Lumpur,1.8,V,51800,MALAYSIA
2018 Honda CIVIC 1.8 S Full Service Type R Bodykit,CIVIC,4D SEDAN,2018,90k - 94k,Auto,Selangor,1.8,S i-VTEC,74800,MALAYSIA
2007 Honda CR-V 2.0 i-VTEC (A),CR-V,4D SUV,2007,140k - 149k,Auto,Penang,2,i-VTEC,24500,MALAYSIA
2020 Honda CIVIC 1.5 TC-P 50k km FULL SERVICE RECO,CIVIC,4D SEDAN,2020,50k - 54k,Auto,Kuala Lumpur,1.5,TC-PREMIUM,99800,MALAYSIA
2007 Honda CR-V 2.0 i-VTEC (A),CR-V,4D SUV,2007,160k - 169k,Auto,Kuala Lumpur,2,i-VTEC,18800,MALAYSIA
2014 Honda CIVIC 2.0 NAVI (A) FULL LOAN/LOAN KEDAI,CIVIC,4D SEDAN,2014,80k - 84k,Auto,Selangor,2,NAVI,39990,MALAYSIA
2019 Honda HR-V 1.8 RS Newfacelift (A),HR-V,4D WAGON,2019,60k - 64k,Auto,Johor,1.8,RS,85999,MALAYSIA
2007 Honda STREAM 1.8 i-VTEC (A),STREAM,4D WAGON,2007,200k - 249k,Auto,Terengganu,1.8,i-VTEC,25800,JAPAN
Honda City 1.5V (A) 3 Tahun Warranty,CITY,4D SEDAN,2015,75k - 79k,Auto,Penang,1.5,V,44800,MALAYSIA
2015 Honda CIVIC 2.0 S PADDLE SHIFTER 2 YEAR WRTY,CIVIC,4D SEDAN,2015,85k - 89k,Auto,Selangor,2,S,39888,MALAYSIA
2012 Honda CR-V 2.0 i-VTEC andriod reverse cam(A),CR-V,4D SUV,2012,100k - 109k,Auto,Selangor,2,i-VTEC,27888,MALAYSIA
2014 Honda JAZZ 1.5 V (A) FULL LOAN / LED LIGHT,JAZZ,4D HATCHBACK,2014,100k - 109k,Auto,Selangor,1.5,V,45800,MALAYSIA
2022 Honda CIVIC V 1.5 (A),CIVIC,4D SEDAN,2022,30k - 34k,Auto,Selangor,1.5,V,115800,MALAYSIA
2017 Honda CITY 1.5 E (A) FREE WARRANTY 2 YEARS,CITY,4D SEDAN,2017,70k - 74k,Auto,Selangor,1.5,E,50800,MALAYSIA
2002 Honda ACCORD 2.3 VTi-L (A),ACCORD,4D SEDAN,2002,200k - 249k,Auto,Penang,2.3,VTi-L,5800,MALAYSIA
Honda ODYSSEY 2.4 i-VTEC (A) Sunroof Android,ODYSSEY,4D WAGON,2004,160k - 169k,Auto,Kuala Lumpur,2.4,i-VTEC,37300,JAPAN
Honda JAZZ HYBRID 1.5L (A) I-VTEC F/S RECORD,JAZZ,4D HATCHBACK,2020,55k - 59k,Auto,Kuala Lumpur,1.5,HYBRID,55800,MALAYSIA
2018 Honda HR-V 1.8 V MUGEN ENHANCED warranty,HR-V,4D WAGON,2018,70k - 74k,Auto,Kuala Lumpur,1.8,MUGEN,59800,MALAYSIA
2018 Honda HR-V 1.8 V 1LadyOwner Sportrim TipTop,HR-V,4D WAGON,2018,65k - 69k,Auto,Selangor,1.8,V,68800,MALAYSIA
2007 Honda STREAM 1.8 i-VTEC (A),STREAM,4D WAGON,2007,300k - 349k,Auto,Melaka,1.8,i-VTEC,24000,JAPAN
1995 Honda ACCORD 2.2 VTi (A),ACCORD,4D SEDAN,1995 or older,100k - 109k,Auto,Johor,2.2,VTi,8000,MALAYSIA
2016 Honda JAZZ 1.5 V (A) 3YRS WARRANTY H/LOAN,JAZZ,4D HATCHBACK,2016,70k - 74k,Auto,Johor,1.5,V,45999,MALAYSIA
Honda CIVIC 1.5 TC CONVERT YOFER FASTLOAN 2019,CIVIC,4D SEDAN,2019,65k - 69k,Auto,Selangor,1.5,TC,98800,MALAYSIA
Honda JAZZ 1.5 V (A) CarbonBonet/FullBodykit/FSR,JAZZ,4D HATCHBACK,2017,60k - 64k,Auto,Selangor,1.5,V,56999,MALAYSIA
[2011]Honda CITY 1.5 E (A)FULLOAN CASH OFFER T/TOP,CITY,4D SEDAN,2011,85k - 89k,Auto,Selangor,1.5,E,19880,MALAYSIA
2008 Honda CR-V 2.0 i-VTEC (A),CR-V,4D SUV,2008,100k - 109k,Auto,Melaka,2,i-VTEC,22800,MALAYSIA
2018 Honda CR-V 2.0 (A)HONDA SERVICE REC FREE IPAD,CR-V,4D SUV,2018,55k - 59k,Auto,Selangor,2,2WD,79777,MALAYSIA
2011 Honda CR-V 2.0 i-VTEC BLACKLIST FULL LOAN,CR-V,4D SUV,2011,170k - 179k,Auto,Selangor,2,i-VTEC,23800,MALAYSIA
Honda HRV S E V RS FULL LOAN,HR-V,4D WAGON,2024,<4k,Auto,Kuala Lumpur,1.5,E,107560,MALAYSIA
2023 Honda STEPWAGON 1.5 SPADA (A),STEPWAGON,4D WAGON,2022,10k - 14k,Auto,Selangor,1.5,SPADA,209800,JAPAN
Honda CIVIC TYPE R FK8 2.0 (M) BLUE 7YR WTY #0462A,CIVIC,4D HATCHBACK,2017,<4k,Manual,Kuala Lumpur,2,TYPE R,220500,UNITED KINGDOM
2021 Honda CITY 1.5 V (A) TIP TOP WARRANTY 3Y H/L,CITY,4D SEDAN,2021,35k - 39k,Auto,Johor,1.5,V,62999,MALAYSIA
2017 Honda HR-V 1.8 V FULL SERVICE RECORD,HR-V,4D WAGON,2017,85k - 89k,Auto,Kuala Lumpur,1.8,V,49800,MALAYSIA
2020 Honda CIVIC 1.5 TC-P (A) Under warranty,CIVIC,4D SEDAN,2020,85k - 89k,Auto,Kuala Lumpur,1.5,TC-PREMIUM,98500,MALAYSIA
BIGSALE✅ 2019 Honda ODYSSEY 2.4 EXV ABSOLUTE 2PD,ODYSSEY,4D WAGON,2019,20k - 24k,Auto,Selangor,2.4,EXV,157888,JAPAN
FACELIFT 2013 Honda CR-Z 1.5 (HYBRID) S PLUS S+,CR-Z,2D HATCHBACK,2013,100k - 109k,Auto,Selangor,1.5,(HYBRID),39999,JAPAN
2020 Honda CIVIC 1.5 TC (A) F/SERVICE RECORD 48K,CIVIC,4D SEDAN,2020,45k - 49k,Auto,Melaka,1.5,TC,94800,MALAYSIA
(2020)Honda CITY 1.5 E ORI T/TOP CDT WRT 3YRS FORU,CITY,4D SEDAN,2020,45k - 49k,Auto,Johor,1.5,E,55999,MALAYSIA
2021 Honda CITY 1.5 E (A) NEW FACELIFT,CITY,4D SEDAN,2021,60k - 64k,Auto,Selangor,1.5,E,65800,MALAYSIA
2008 Honda CR-V 2.0 i-VTEC (A),CR-V,4D SUV,2008,130k - 139k,Auto,Kuala Lumpur,2,i-VTEC,21800,MALAYSIA
New Honda CITY 1.5 Facelift (A)Cash Back Full Loan,CITY,4D SEDAN,2024,<4k,Auto,Penang,1.5,S,75000,MALAYSIA
"Honda CIVIC 2.0 S (A) 1 owner, warranty provide",CIVIC,4D SEDAN,2014,100k - 109k,Auto,Kuala Lumpur,2,S,35800,MALAYSIA
2015 Honda CIVIC 2.0 SE MODULO S FACELIFT (A),CIVIC,4D SEDAN,2015,120k - 129k,Auto,Kuala Lumpur,2,SE MODULO S,45800,MALAYSIA
2019 Honda CITY 1.5 V (A) TIP TOP FULL SERVICE,CITY,4D SEDAN,2019,70k - 74k,Auto,Melaka,1.5,V,60000,MALAYSIA
2019 Honda CR-V 2.0 2WD (A),CR-V,4D SUV,2019,70k - 74k,Auto,Penang,2,2WD,94800,MALAYSIA
2014 Honda CITY 1.5 S+ /80K MILEAGE /FREE WARRANTY,CITY,4D SEDAN,2014,75k - 79k,Auto,Selangor,1.5,S+,30770,MALAYSIA
2022 Honda CITY 1.5 RS e-HEV (A) FULL SPEC,CITY,4D SEDAN,2022,50k - 54k,Auto,Selangor,1.5,RS HYBRID,75800,MALAYSIA
2009 Honda CITY 1.5 i-VTEC MODULO (A) TIP TOP COND,CITY,4D SEDAN,2009,100k - 109k,Auto,Kuala Lumpur,1.5,i-VTEC,22800,MALAYSIA
2015 Honda HR-V 1.8L i-VTEC V (A),HR-V,4D WAGON,2015,100k - 109k,Auto,Penang,1.8,V,49800,MALAYSIA
2017 Honda CIVIC 1.8 i-VTEC (A) NO PROCESSING FEES,CIVIC,4D SEDAN,2017,100k - 109k,Auto,Kuala Lumpur,1.8,S i-VTEC,65800,MALAYSIA
2008 Honda STREAM 1.8 i-VTEC (A) SUNROOF 5 SPEED,STREAM,4D WAGON,2008,170k - 179k,Auto,Kuala Lumpur,1.8,i-VTEC,33800,JAPAN
Honda CITY GN2 1.5 V (A),CITY,4D SEDAN,2020,100k - 109k,Auto,Terengganu,1.5,V,68000,MALAYSIA
MIL-93K OFFER 2016 Honda CR-V 2.0 4WD FACELIFT (A),CR-V,4D SUV,2016,90k - 94k,Auto,Selangor,2,4WD,57999,MALAYSIA
2009 Honda CIVIC 1.8 S i-VTEC (A),CIVIC,4D SEDAN,2009,100k - 109k,Auto,Kedah,1.8,S i-VTEC,19500,MALAYSIA
2018 Honda CITY 1.5 S FACELIFT (A) ONE OWNER,CITY,4D SEDAN,2018,80k - 84k,Auto,Kuala Lumpur,1.5,S,48999,MALAYSIA
2017 Honda BR-V 1.5 V (A) SUV F.S RECORD/7 SEATER,BR-V,4D WAGON,2017,110k - 119k,Auto,Kuala Lumpur,1.5,V,43800,MALAYSIA
2009 Honda CIVIC 1.8 S i-VTEC (A),CIVIC,4D SEDAN,2009,170k - 179k,Auto,Terengganu,1.8,S i-VTEC,20500,MALAYSIA
2010 Honda CITY 1.5 E (A),CITY,4D SEDAN,2010,100k - 109k,Auto,Selangor,1.5,E,24800,MALAYSIA
2013 Honda FREED 1.5 (A) UTONG SIKIT JUAL,FREED,4D WAGON,2013,85k - 89k,Auto,Penang,1.5,E,35900,JAPAN
2023 Honda CR-V 1.5 BLACK EDITION✅11k Mileage TC-P,CR-V,4D SUV,2023,5k - 9k,Auto,Johor,1.5,BLACK EDITION,145800,MALAYSIA
ORI16 Honda ACCORD 2.4 VTi-L FACELIFT LED HEADLAMP,ACCORD,4D SEDAN,2016,85k - 89k,Auto,Selangor,2.4,VTi-L,69888,MALAYSIA
2022 Honda HR-V 1.8 RS (A) Honda Warranty 2027,HR-V,4D WAGON,2022,65k - 69k,Auto,Penang,1.8,RS,89900,MALAYSIA
FU/LOAN 2022 Honda CITY 1.5 V HATCHBACK (A),CITY,4D HATCHBACK,2022,30k - 34k,Auto,Johor,1.5,HATCHBACK V,74999,MALAYSIA
2000 Honda ODYSSEY 2.3 (A) RA6 PROMO OTR 7111 NICE,ODYSSEY,4D WAGON,2000,95k - 99k,Auto,Selangor,2.3,-,15988,JAPAN
2010 Honda CITY 1.5 E (A),CITY,4D SEDAN,2010,10k - 14k,Auto,Selangor,1.5,E,24800,MALAYSIA
2010 Honda CIVIC 1.8 S i-VTEC FACELIFT (A),CIVIC,4D SEDAN,2010,100k - 109k,Auto,Johor,1.8,S i-VTEC,29900,MALAYSIA
ORI 2017 Honda HR-V 1.8 (A) V SPEC P/START R/CAM,HR-V,4D WAGON,2017,85k - 89k,Auto,Kuala Lumpur,1.8,V,57999,MALAYSIA
2016 Honda CITY 1.5 V ✅63k Mileage/ Honda Service,CITY,4D SEDAN,2016,60k - 64k,Auto,Johor,1.5,V,42800,MALAYSIA
"2015 Honda CITY 1.5 E (A)Honda Servis, mileage ori",CITY,4D SEDAN,2015,80k - 84k,Auto,Selangor,1.5,E,33800,MALAYSIA
ORI16/17 Honda CIVIC 1.5 TC TYPE-R BODY+HIGH LOAN,CIVIC,4D SEDAN,2016,80k - 84k,Auto,Selangor,1.5,TC,72888,MALAYSIA
2019 Honda HR-V 1.8 RS ENHANCED (A) V FULL LOAN !!,HR-V,4D WAGON,2019,50k - 54k,Auto,Selangor,1.8,RS,79800,MALAYSIA
Honda CIVIC 1.5 V (A) FE VTEC TURBO DIRECT OWNER,CIVIC,4D SEDAN,2022,40k - 44k,Auto,Kuala Lumpur,1.5,V,109800,MALAYSIA
2015 Honda HR-V 1.8 S (A) PERFECT CONDITION SUV,HR-V,4D WAGON,2015,90k - 94k,Auto,Selangor,1.8,S,46800,MALAYSIA
2013 Honda STREAM 1.8 i-VTEC RSZ FACELIFT (A),STREAM,4D WAGON,2013,95k - 99k,Auto,Kuala Lumpur,1.8,i-VTEC RSZ,47800,JAPAN
2010 Honda CIVIC 1.8 S i-VTEC FACELIFT (A),CIVIC,4D SEDAN,2010,140k - 149k,Auto,Kuala Lumpur,1.8,S i-VTEC,28800,MALAYSIA
2010 Honda CIVIC 2.0 S i-VTEC FACELIFT (A),CIVIC,4D SEDAN,2010,100k - 109k,Auto,Kuala Lumpur,2,S i-VTEC,33800,MALAYSIA
2016 Honda HR-V 1.8 V ENHANCED (A) 1st Lady Owner,HR-V,4D WAGON,2016,75k - 79k,Auto,Kuala Lumpur,1.8,V,57800,MALAYSIA
Honda CRZ 1.5 S+ FACELIFT (A) CAR KING / HIGH LOAN,CR-Z,2D HATCHBACK,2014,100k - 109k,Auto,Kuala Lumpur,1.5,(HYBRID),38999,JAPAN
ORI 2015 Honda CR-V 2.0 (A) P/START R/CAM L/SEAT,CR-V,4D SUV,2015,100k - 109k,Auto,Kuala Lumpur,2,4WD,53999,MALAYSIA
2020 HONDA CIVIC FACELiFT 1.5 TCP TIP TOP CAR KING,CIVIC,4D SEDAN,2020,80k - 84k,Auto,Selangor,1.5,TC-PREMIUM,103800,MALAYSIA
2010 Honda CIVIC 2.0 S i-VTEC FACELIFT (A),CIVIC,4D SEDAN,2010,160k - 169k,Auto,Penang,2,S i-VTEC,38800,MALAYSIA
2019 Honda HR-V 1.8 E FACELIFT (A) LED DAYLIGHTS,HR-V,4D WAGON,2019,65k - 69k,Auto,Kuala Lumpur,1.8,E,66800,MALAYSIA
2019 Honda CR-V 1.5 TC 4WD (A) Full Service Honda,CR-V,4D SUV,2019,55k - 59k,Auto,Johor,1.5,TC 4WD,103800,MALAYSIA
2016 Honda JAZZ 1.5 S E V (A) LOW MILE 71KM MUGEN,JAZZ,4D HATCHBACK,2016,65k - 69k,Auto,Selangor,1.5,S,46888,MALAYSIA
2021 Honda HR-V 1.8 E (A) FSR FREE WARRANTY,HR-V,4D WAGON,2021,30k - 34k,Auto,Selangor,1.8,E,75770,MALAYSIA
2011 Honda CITY 1.5 E (A),CITY,4D SEDAN,2011,150k - 159k,Auto,Kuala Lumpur,1.5,E,22000,MALAYSIA
2021 Honda CITY 1.5 V / LOW MILE / FREE WARRANTY,CITY,4D SEDAN,2021,45k - 49k,Auto,Selangor,1.5,V,66770,MALAYSIA
2013 Honda ACCORD 2.0 VTi-L NFL SerRec Ori Mileage,ACCORD,4D SEDAN,2013,150k - 159k,Auto,Kuala Lumpur,2,VTi-L,35777,MALAYSIA
FULL LOAN 2018 Honda CITY 1.5 V FACELIFT (A),CITY,4D SEDAN,2018,70k - 74k,Auto,Sabah,1.5,V,56800,MALAYSIA
2011 Honda CITY 1.5 E (A),CITY,4D SEDAN,2011,110k - 119k,Auto,Johor,1.5,E,25800,MALAYSIA
2019 Honda STEPWAGON SPADA 7 SEATER 360CAM OFFER,STEPWAGON,4D WAGON,2019,40k - 44k,Auto,Kuala Lumpur,1.5,SPADA (8 SEATER),139900,JAPAN
2013 Honda CR-Z 1.5 (HYBRID) (A) ZF-2 KEDAI LOAN!,CR-Z,2D HATCHBACK,2013,70k - 74k,Auto,Selangor,1.5,(HYBRID),34944,JAPAN
2011 Honda CITY 1.5 E (A),CITY,4D SEDAN,2011,150k - 159k,Auto,Johor,1.5,E,24500,MALAYSIA
Honda CITY 1.5 V FULL MODULO BODYKIT LOW MILEAGE,CITY,4D SEDAN,2014,95k - 99k,Auto,Kuala Lumpur,1.5,V,38800,MALAYSIA
Honda CITY 1.5 V (A) MODULO PADDLE SHIFT WARRANTY,CITY,4D SEDAN,2019,50k - 54k,Auto,Johor,1.5,V,58800,MALAYSIA
2015 Honda CR-V 2.0 2WD FACELIFT (A),CR-V,4D SUV,2015,95k - 99k,Auto,Selangor,2,2WD,48800,MALAYSIA
2011 Honda CITY 1.5 E MODULO (A),CITY,4D SEDAN,2011,150k - 159k,Auto,Selangor,1.5,E MODULO,19000,MALAYSIA
Honda CIVIC 1.8 S FULL SERVICE UNDER WARRANTY FK8,CIVIC,4D SEDAN,2021,65k - 69k,Auto,Kuala Lumpur,1.8,S,85800,MALAYSIA
2011 Honda CITY 1.5 E MODULO (A),CITY,4D SEDAN,2011,85k - 89k,Auto,Selangor,1.5,E MODULO,23801,MALAYSIA
2018 Honda STEPWAGON SPADA COOL SPIRIT 8 SEATER,STEPWAGON,4D WAGON,2018,25k - 29k,Auto,Kuala Lumpur,1.5,SPADA,139900,JAPAN
FULL LOAN✅FULL SPEC✅2016 Honda HR-V 1.8 V (A),HR-V,4D WAGON,2016,85k - 89k,Auto,Johor,1.8,V,55799,MALAYSIA
2011 Honda CIVIC 1.8 (A) FULL LOAN/LOAN KEDAI,CIVIC,4D SEDAN,2011,85k - 89k,Auto,Selangor,1.8,i-VTEC,33990,MALAYSIA
"CR-V 2.0 i-VTEC (A) AWD,Ladies Owner",CR-V,4D SUV,2008,130k - 139k,Auto,Kuala Lumpur,2,i-VTEC,21800,MALAYSIA
Honda CITY 1.5 S (A) NEW F/LIFT MODULO SPORT WRNTY,CITY,4D SEDAN,2017,<4k,Auto,Selangor,1.5,S,41200,MALAYSIA
Honda City 1.5 i-Vtec (A) S-spec Modulo,CITY,4D SEDAN,2012,170k - 179k,Auto,Selangor,1.5,S MODULO,25666,MALAYSIA
Honda CIVIC 1.5 FULL B.KIT YOFER F450 FSTLOAN 2018,CIVIC,4D SEDAN,2018,65k - 69k,Auto,Selangor,1.5,TC-PREMIUM,101800,MALAYSIA
2017 Honda CR-V 2.0 FACELIFT (A) CRV Paddle Shift,CR-V,4D SUV,2017,110k - 119k,Auto,Kuala Lumpur,2,2WD,78300,MALAYSIA
[2011] Honda ACCORD 2.4 VTi-L FACELIFT (A),ACCORD,4D SEDAN,2011,85k - 89k,Auto,Selangor,2.4,VTi-L,26800,MALAYSIA
2016 Honda HR-V 1.8 E (A) Full Service Record 360,HR-V,4D WAGON,2016,95k - 99k,Auto,Selangor,1.8,E,49800,MALAYSIA
2018 Honda CIVIC 1.5 TC-PREMIUM (A) Full Loan King,CIVIC,4D SEDAN,2018,75k - 79k,Auto,Johor,1.5,TC-PREMIUM,79999,MALAYSIA
"2022 Honda CIVIC 1.5 EX FL1 20,xxx km ONLY✅✅",CIVIC,4D HATCHBACK,2022,20k - 24k,Auto,Johor,1.5,EX,167007,JAPAN
SUV BigRim KeylessCamera 2016 Honda HR-V 1.8 V HRV,HR-V,4D WAGON,2016,80k - 84k,Auto,Selangor,1.8,V,46800,MALAYSIA
2013 Honda ACCORD 2.0 VTi-L NEW GEN (A) POWER SEAT,ACCORD,4D SEDAN,2013,95k - 99k,Auto,Kuala Lumpur,2,VTi-L,40800,MALAYSIA
